Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52,1,0.8,0.2,11,68,26,4,112
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,149,218,68.3,2057,327,92,118,78,39,64,60.9,9,15,60,1,0.9,0.1,8,12,2,0,11
Che Adams,sct SCO,FW,Southampton,24,1996,29.6,443,633,70,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,5,5.8,-0.8,34,27,25,2,61
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,0,0.4,-0.4,5,68,5,1,73
Adrián,es ESP,GK,Liverpool,33,1987,3,76,99,76.8,2031,1135,16,16,100,37,38,97.4,21,43,48.8,0,0,0,0,0,0,0,0
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,143,170,84.1,1867,285,82,94,87.2,42,48,87.5,5,5,100,1,1.3,-0.3,6,11,6,1,12
Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,1329,1711,77.7,25538,10322,526,584,90.1,617,717,86.1,170,354,48,1,1.4,-0.4,14,98,15,9,98
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,657,785,83.7,10835,3074,327,356,91.9,278,312,89.1,41,81,50.6,1,1,0,13,30,14,5,46
Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,704,947,74.3,15524,6590,198,232,85.3,364,445,81.8,137,255,53.7,0,0.3,-0.3,5.00E+00,67,4,0,64
Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,702,755,93,12873,3534,289,299,96.7,349,372,93.8,60,73,82.2,0,0,0,1,60,2,0,36
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,635,923,68.8,11394,4629,319,383,83.3,211,263,80.2,84,199,42.2,5,4.4,0.6,39,51,42,16,87
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1498,1674,89.5,31595,8231,522,564,92.6,672,725,92.7,278,338,82.2,0,2.3,-2.3,29,207,27,1,184
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1143,1365,83.7,27127,7537,266,287,92.7,581,625,93,287,432,66.4,0,0.3,-0.3,7,76,6,1,52
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,7,11,63.6,126,51,2,2,100,5,5,100,0,4,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2216,2941,75.3,47515,19500,784,889,88.2,994,1189,83.6,419,777,53.9,7,8.1,-1.1,73,208,101,32,278
Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,27.3,1305,1630,80.1,22206,8320,629,703,89.5,567,661,85.8,97,196,49.5,3,3.1,-0.1,27,82,32,13,114
Alisson,br BRA,GK,Liverpool,27,1992,33,968,1137,85.1,25310,13346,159,161,98.8,526,536,98.1,280,436,64.2,0,0,0,0,7,0,0,1
Allan,br BRA,MF,Everton,29,1991,22.8,899,1048,85.8,16984,4349,369,401,92,382,428,89.3,129,178,72.5,0,0.9,-0.9,16,91,15,1,82
Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,270,337,80.1,4654,1070,124,145,85.5,116,132,87.9,26,39,66.7,1,0.9,0.1,8.00E+00,17,9,1,27
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27,711,877,81.1,12123,2700,352,395,89.1,270,317,85.2,66,109,60.6,1,2.8,-1.8,28,56,26,7,65
Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,483,592,81.6,8125,2867,239,267,89.5,207,240,86.3,34,62,54.8,0,1.1,-1.1,12,19,8,2,49
Steven Alzate,co COL,MFDF,Brighton,21,1998,10,399,446,89.5,6928,1321,194,213,91.1,154,163,94.5,45,54,83.3,0,0.5,-0.5,10,33,6,0,35
Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,400,466,85.8,7606,2362,136,146,93.2,212,240,88.3,45,62,72.6,0,0,0,0,19,1,0,25
Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,857,1064,80.5,17276,5506,306,353,86.7,405,470,86.2,134,211,63.5,0,0.9,-0.9,10,69,16,2,84
Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1529,1833,83.4,38236,11350,300,334,89.8,821,894,91.8,397,577,68.8,1,0.5,0.5,9,121,9,1,99
Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0,1,1,100,10,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0
Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0,4,6,66.7,61,28,2,2,100,2,4,50,0,0,,0,0,0,0,0,0,0,2
Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,326,490,66.5,5008,924,189,259,73,90,134,67.2,30,52,57.7,5,2.3,2.7,23,22,12,2,25
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,737,1001,73.6,20163,12032,221,221,100,251,254,98.8,248,509,48.7,0,0,0,0,6,0,0,0
Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,1002,1258,79.7,16614,4712,515,604,85.3,383,444,86.3,85,127,66.9,5,2.7,2.3,34,90,40,5,116
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,198,243,81.5,5209,2622,49,51,96.1,89,89,100,60,103,58.3,0,0,0,0,3,0,0,1
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,518,691,75,7883,1507,289,355,81.4,183,238,76.9,28,51,54.9,3,2.8,0.2,22,18,27,9,50
Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,769,954,80.6,12616,5171,402,446,90.1,297,373,79.6,58,99,58.6,3,1.9,1.1,12,29,20,6,61
Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,25,34,73.5,374,134,12,14,85.7,12,16,75,1,2,50,0,0,0,0,0,0,0,4
