Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,1127,932,195,36,2,112,20,34,2,0,2,0,717,219,191,743,194,25,157,3,889,12,22,29,34
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,218,208,10,2,0,77,1,4,0,0,0,0,136,54,28,17,147,18,0,12,149,0,4,3,13
Che Adams,sct SCO,FW,Southampton,24,1996,29.6,633,621,12,1,8,176,14,13,0,0,0,0,398,125,110,39,500,36,0,24,443,6,9,28,33
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1824,1775,49,42,2,175,49,3,0,0,0,0,1409,128,287,248,1442,81,7,3,1594,3,32,21,16
Adrián,es ESP,GK,Liverpool,33,1987,3,99,70,29,7,0,9,1,0,0,0,0,0,57,9,33,12,66,0,0,20,76,1,2,0,0
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,170,160,10,0,0,29,1,2,0,0,0,0,144,18,8,14,150,2,1,2,143,0,0,4,8
Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,1711,1428,283,33,0,121,38,42,0,0,0,0,1007,270,434,292,1068,84,250,4,1329,1,24,43,45
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,785,651,134,7,0,78,12,30,7,1,3,3,516,164,105,569,67,20,120,2,657,1,5,10,33
Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,947,887,60,11,1,120,29,6,0,0,0,0,572,111,264,48,728,7.10E+01,49,3,704,7,28,29,1.20E+01
Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,755,730,25,13,0,44,10,0,0,0,0,0,659,32,64,583,116,21,11,3,702,0,3,7,7
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,923,824,99,10,6,151,33,73,31,5,11,4,523,189,211,68,755,25,58,6,635,6,16,30,72
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1674,1630,44,32,9,230,85,4,0,0,0,0,1222,195,257,83,1510,48,3,6,1498,5,18,3.50E+01,23
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1365,1305,60,50,2,98,51,1,0,0,0,0,926,120,319,255,1010,66,10,4,1143,2,19,21,13
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,11,8,3,2,0,1,0,0,0,0,0,0,7,1,3,1,8,0,0,2,7,0,1,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2941,2454,487,57,9,248,147,182,104,17,57,4,1628,531,782,335,2208,63,326,6,2216,11,37,63,103
Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,27.3,1630,1376,254,31,2,170,22,59,0,0,0,0,997,401,232,1173,122,85,223,0,1305,4,27,46,60
Alisson,br BRA,GK,Liverpool,27,1992,33,1137,901,236,63,0,82,35,0,0,0,0,0,818,59,260,96,850,1,0,159,968,3,16,11,1
Allan,br BRA,MF,Everton,29,1991,22.8,1048,1014,34,22,0,148,14,3,0,0,0,0,768,140,140,113,894,28,5,4,899,3,11,26,20
Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,337,316,21,8,3,67,4,7,0,0,0,0,273,37,27,23,299,8.00E+00,2,0,270,2,4,13,1.40E+01
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27,877,845,32,6,2,141,17,29,6,0,1,0,673,108,96,800,38,20,6,7,711,4,7,22,31
Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,592,506,86,11,0,85,4,13,4,0,4,0,396,109,87,435,52,20,71,3,483,4,6,13,25
Steven Alzate,co COL,MFDF,Brighton,21,1998,10,446,431,15,3,0,75,12,2,2,1,1,0,374,41,31,36,381,14,9,2,399,0,3,6,8
Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,466,433,33,1,0,47,3,0,0,0,0,0,341,59,66,36,362,21,32,2,400,2,0,7,10
Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,1064,979,85,19,3,121,42,11,5,5,0,0,710,122,232,174,722,65,61,4,857,1,27,15,19
Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1833,1765,68,54,1,163,96,4,0,0,0,0,1255,158,420,173,1477,108,14,7,1529,7,51,18,22
Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0
Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,490,472,18,1,0,171,14,30,0,0,0,0,283,124,83,76,319,28,8,12,326,2,11,17,31
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,1001,650,351,102,0,45,19,0,0,0,0,0,534,34,433,65,727,0,0,158,737,3,19,5,2
Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,1258,1181,77,14,7,268,19,26,1,0,0,0,961,172,125,229,965,39,16,3,1002,2,12,44,65
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,243,192,51,6,0,22,4,0,0,0,0,0,154,13,76,30,170,0,0,39,198,0,4,1,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,691,670,21,1,6,141,9,47,1,0,0,0,495,102,94,76,564,17,3,9,518,9,5,16,23
Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,954,791,163,5,3,108,13,21,0,0,0,0,576,194,184,69,654,51,158,1,769,0,7,22,25
Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,34,32,2,0,0,12,0,1,0,0,0,0,16,10,8,3,18,6,0,0,25,1,0,1,1
Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,654,636,18,4,0,141,10,18,0,0,0,0,519,85,50,42,554,25,2,6,514,1,7,25,23
Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,2661,2302,359,54,4,244,90,70,0,0,0,0,1574,491,596,208,2006,97,305,7,2109,7,46,68,67
César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,2015,1830,185,35,4,128,12,29,0,0,0,0,1500,265,250,165,1585,77,150,7,1763,4,18,37,39
Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,547,532,15,14,0,50,10,0,0,0,0,0,452,41,54,65,443,23,1,2,494,0,4,10,3
Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,465,439,26,23,0,32,17,0,0,0,0,0,289,41,135,52,377,24,3,1,357,3,10,5,7
George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31,1160,951,209,3,0,149,15,51,0,0,0,0,655,266,239,58,838,41,206,5,911,2,18,23,54
Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,408,376,32,9,1,91,32,29,13,10,1,1,225,76,107,332,29,20,10,4,284,1,7,17,18
Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,506,418,88,1,4,101,0,5,2,0,0,0,373,98,35,330,110,22,1,20,386,3,10,23,22
Phil Bardsley,sct SCO,DF,Burnley,35,1985,3,165,127,38,1,0,23,5,7,0,0,0,0,60,41,64,12,101,13,37,0,116,1,4,1,9
Ross Barkley,eng ENG,MF,Chelsea,26,1993,0.5,26,26,0,0,1,7,1,0,0,0,0,0,18,4,4,4,17,2,0,0,22,0,0,2,0
Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17,764,667,97,23,0,170,22,20,54,19,10,11,534,104,126,100,602,32,4,4,619,2,8,15,20
Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,307,303,4,1,0,109,4,6,0,0,0,0,170,65,72,39,186,29,0,11,195,2,5,11,14
Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,626,623,3,1,3,135,7,18,0,0,0,0,452,90,84,54,516,31,2,5,468,1,11,15,30
Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,809,776,33,23,1,141,29,4,0,0,0,0,514,79,216,95,570,78,10,1,630,2,27,10,8
Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,1105,1040,65,14,1,116,14,24,0,0,0,0,764,136,205,134,790,82,51,5,900,2,26,15,23
Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,168,155,13,1,1,46,0,7,0,0,0,0,115,35,18,27,121,7,2,2,118,0,1,6,12
Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,2005,1916,89,44,1,250,30,0,0,0,0,0,1430,178,397,326,1447,132,45,7,1697,2,35,23,18
Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,279,275,4,2,0,44,4,4,0,0,0,0,237,25,17,21,248,5,2,2,235,0,2,8,13
Héctor Bellerín,es ESP,DF,Arsenal,25,1995,23.2,1302,1137,165,9,2,181,14,51,0,0,0,0,853,287,162,107,959,58,156,3,1079,3,17,29,38
Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,527,515,12,1,3,82,10,39,0,0,0,0,393,61,73,74,430,13,5,3,411,3,8,17,16
Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,85,82,3,1,0,14,0,4,0,0,0,0,55,16,14,2,73,7,2,0,62,0,0,0,5
Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,573,553,20,1,1,276,4,6,0,0,0,0,237,162,174,27,302,60,1,16,366,4,11,20,15
Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,56,51,5,0,1,3,1,1,0,0,0,0,40,6,10,10,38,2,5,0,46,1,1,1,1
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,472,466,6,0,1,106,18,24,4,3,1,0,308,60,104,373,49,30,1,3,356,3,6,10,9
Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,464,452,12,8,1,73,12,18,2,2,0,0,355,55,54,37,386,26,2,0,380,2,10,9,12
Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,428,418,10,3,0,74,4,12,4,3,0,0,340,40,48,17,396,12,1,0,347,0,2,11,9
Bernard,br BRA,MFFW,Everton,27,1992,5.1,272,267,5,1,0,31,2,9,0,0,0,0,209,31,32,47,213,8,1,3,216,2,3,8,13
Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,87,80,7,1,0,13,1,4,0,0,0,0,58,21,8,61,10,5,6,0,62,1,1,1,10
Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,1537,1188,349,55,1,166,21,57,7,3,2,1,889,269,379,1058,88,74,287,7,1181,7,26,32,48
Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,1676,1639,37,32,5,265,44,8,0,0,0,0,1300,201,175,157,1420,50,4,12,1461,1,33,41,24
Jayden Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,383,318,65,1,2,63,1,12,0,0,0,0,227,92,64,53,237,19,64,3,300,1,8,9,16
Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1003,981,22,20,0,108,11,0,0,0,0,0,730,99,174,110,798,57,2,2,830,1,12,13,11
Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,734,661,73,5,1,155,46,52,56,46,5,2,442,119,173,553,143,15,1,4,499,4,10,16,47
Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,393,376,17,7,3,89,12,25,3,2,0,0,197,74,122,271,61,41,7,0,266,1,11,9,12
