Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22,1777,81,52,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.7,-0.09
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22,1040,47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,11,0.95,0.54,21.1,8.8,12.2,1.06,0.34
Che Adams,sct SCO,FW,Southampton,24,1996,36,2667,74,78,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.4,0.67,32.8,39.9,-7.1,-0.24,0.33
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33,2953,89,86.3,32.8,33,89,32,0,,1,0.85,24,41,-17,-0.52,1.22,36.7,46.1,-9.4,-0.29,0.15
Adrián,es ESP,GK,Liverpool,33,1987,3,270,90,7.9,3,3,90,3,0,,27,1.33,6,9,-3,-1,-1.83,6.8,5.8,1,0.33,-0.42
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,12,559,47,16.3,6.2,7,69,2,5,16,7,2.42,11,4,7,1.13,-0.26,12.2,4.4,7.8,1.26,0.18
Ola Aina,ng NGA,DF,Fulham,23,1996,31,2664,86,77.9,29.6,31,86,24,0,,4,0.84,22,36,-14,-0.47,0.96,31.8,41.4,-9.6,-0.32,-0.08
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,21,1404,67,41.1,15.6,16,83,10,5,15,8,1,16,23,-7,-0.45,-0.05,16.8,18.3,-1.5,-0.09,0.11
Semi Ajayi,ng NGA,DF,West Brom,26,1993,33,2780,84,81.3,30.9,31,88,30,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.4,58.2,-31.7,-1.03,-0.71
Nathan Aké,nl NED,DF,Manchester City,25,1995,10,797,80,23.3,8.9,9,86,8,1,20,7,1.7,16,13,3,0.34,-1.31,15.5,9.3,6.2,0.7,-0.53
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,31,1746,56,51.1,19.4,17,80,9,14,27,7,1.9,36,22,14,0.72,0.51,30.7,25,5.6,0.29,0.15
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,24,1854,77,54.2,20.6,20,85,13,4,40,1,1.71,34,18,16,0.78,0.2,40.5,23.2,17.3,0.84,0.27
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,25,2240,90,65.5,24.9,25,90,24,0,,10,1.8,44,25,19,0.76,0.46,34.9,31.1,3.8,0.15,0.06
Kyle Alex John,eng ENG,DF,Everton,19,2001,0,,,,,0,,,0,,6,,,,,,,,,,,
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,16,16,0.5,0.2,0,,0,1,16,21,0,0,0,0,0,-0.42,0.1,0.5,-0.4,-2.03,-2.28
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,3031,84,88.6,33.7,34,88,30,2,19,0,1.81,60,40,20,0.59,-0.79,65.3,40.4,24.9,0.74,0.2
Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,36,2461,68,72,27.3,29,79,19,7,22,2,1.64,47,35,12,0.44,0.81,45.7,43.2,2.5,0.09,0.83
Alisson,br BRA,GK,Liverpool,27,1992,33,2970,90,86.8,33,33,90,33,0,,0,1.88,58,32,26,0.79,0.79,63.9,37.9,26,0.79,0.53
Allan,br BRA,MF,Everton,29,1991,24,2051,85,60,22.8,23,88,21,1,33,2,1.54,27,30,-3,-0.13,-0.26,30.6,31.5,-0.9,-0.04,0.23
Dele Alli,eng ENG,MF,Tottenham,24,1996,15,620,41,18.1,6.9,7,70,1,8,16,8,1.33,11,9,2,0.29,-0.38,11,10.4,0.6,0.09,-0.05
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,34,2429,71,71,27,28,82,12,6,20,2,1.18,30,48,-18,-0.67,-0.85,28.8,37.5,-8.7,-0.32,0.06
Marcos Alonso,es ESP,DF,Chelsea,29,1990,13,960,74,28.1,10.7,11,84,9,2,20,9,2.08,15,13,2,0.19,-0.54,17,11.2,5.8,0.54,-0.39
