Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,1323,72,405,643,344,38,1126,9,21,42.9,9,0,733,3522,1907,114,30,9,13,16,835,775,92.8,46
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,356,21,40,167,166,66,347,6,19,31.6,6,2,177,709,252,13,5,4,26,13,491,251,51.1,96
Che Adams,sct SCO,FW,Southampton,24,1996,29.6,976,22,98,444,492,110,965,25,44,56.8,28,0,630,2627,1169,67,27,10,74,52,1474,734,49.8,189
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,2221,462,1338,920,73,34,2172,8,11,72.7,9,0,1324,6173,3455,50,6,0,5,8,1531,1491,97.4,5
Adrián,es ESP,GK,Liverpool,33,1987,3,113,102,113,0,0,0,84,0,0,,0,0,50,162,74,0,0,0,0,0,47,46,97.9,0
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,246,0,10,109,143,50,234,9,15,60,10,2,167,704,326,22,7,2,11,13,285,193,67.7,52
Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,2031,117,787,1004,355,21,1766,21,34,61.8,22,2,1159,6044,3336,114,35,5,20,15,1289,1230,95.4,25
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,986,43,264,465,322,29,853,37,61,60.7,38,2,651,3125,2044,98,31,14,22,21,666,613,92,31
Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,1279,232,707,551,81,36,1220,12,18,66.7,13,1,610,3330,1761,29,10,0,11,13,691,627,9.07E+01,6
Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,821,42,222,583,83,5,796,0,0,,0,0,607,3010,1847,70,27,0,3,2,671,656,97.8,2
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,1145,40,244,468,504,44,1047,30,60,50,32,3,755,3746,1847,88,24,8,22,39,914,719,78.7,71
