Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45
Alisson,br BRA,GK,Liverpool,28,1992,36,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,
Allan,br BRA,MF,Everton,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,288,84,43,66.1
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,3,0,0,18,12,10,9,1,7,0,0,0,38,28,32,46.7
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,2,0,0,42,70,1,50,28,34,1,0,0,156,31,62,33.3
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,4,1,0,28,24,2,25,54,45,0,1,0,263,49,51,49
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,3,0,0,29,8,2,37,37,31,0,1,0,169,52,34,60.5
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,0,0,0,1,2,0,0,0,0,0,1,0,57,0,0,
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,3,0,0,13,12,3,21,3,12,0,0,0,43,9,16,36
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,33.3
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,2,0,0,7,8,5,4,3,2,0,0,0,19,5,15,25
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,2,1,1,7,15,1,5,21,4,0,0,0,83,11,22,33.3
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,0,0,0,2,7,0,1,2,1,0,0,0,12,6,2,75
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,4,0,0,24,14,9,4,6,10,0,1,0,46,41,76,35
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,2,0,0,22,27,10,40,10,13,0,0,0,131,25,48,34.2
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,0,0,0,2,1,0,0,5,0,0,0,0,17,1,2,33.3
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,3,0,0,9,4,0,19,9,7,0,1,0,99,14,10,58.3
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,10,0,0,38,17,1,6,95,21,0,1,1,324,114,60,65.5
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,1,0,0,11,1,0,6,9,9,0,0,0,63,6,3,66.7
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,0,0,0,4,2,0,0,2,3,0,0,0,11,3,3,50
Asmir Begović,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,0,0,0,11,22,9,64,12,23,0,0,0,167,15,22,40.5
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,5,0,0,29,19,0,10,18,15,0,0,0,133,25,15,62.5
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,3,0,0,17,17,10,2,1,2,0,0,0,45,88,62,58.7
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,2,0,0,17,16,3,42,17,9,0,0,0,96,21,16,56.8
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,1,0,0,9,12,1,6,4,4,0,0,0,30,1,6,14.3
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,1,0,0,5,1,0,1,3,4,0,0,0,17,3,5,37.5
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,1,0,0,0,1,2,0,0,0,6,0,0,
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,10,0,0,34,29,0,5,55,50,0,1,0,251,21,17,55.3
Willy Boly,ci CIV,DF,Wolves,30,1991,10,1,0,0,9,2,1,0,19,22,0,1,0,102,26,22,54.2
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,6,0,0,26,51,13,57,38,26,2,0,0,194,40,78,33.9
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,1,0,2,4,0,0,8,2,0,0,0,37,13,6,68.4
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,2,0,0,38,32,13,19,13,12,1,0,0,100,94,175,34.9
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,10,0,0,49,29,0,25,79,41,0,0,0,364,56,40,58.3
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,0,0,0,1,4,0,4,0,3,0,0,0,12,0,0,
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,1,0,0,26,53,3,19,18,31,0,1,0,172,24,47,33.8
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,4,0,0,18,3,0,1,32,15,0,0,0,102,40,20,66.7
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,4,0,0,13,5,5,1,29,12,0,0,0,173,90,28,76.3
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,3,0,0,16,4,0,8,38,15,0,1,0,91,35,22,61.4
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,2,0,0,9,16,1,2,12,12,0,0,0,84,11,6,64.7
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,2,0,0,21,22,4,3,6,11,1,0,0,49,97,107,47.5
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,7,0,0,37,37,2,103,75,54,0,0,0,349,49,45,52.1
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,8,1,1,32,20,5,52,33,22,0,0,1,182,14,31,31.1
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,2,0,0,6,12,2,3,4,11,0,0,0,32,4,5,44.4
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,8,0,0,45,50,2,94,90,44,0,1,0,285,44,56,44
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1,0,0,18,13,1,27,38,29,0,0,0,181,44,32,57.9
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,1,0,0,11,18,0,10,13,21,0,0,0,86,11,11,50
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,3,0,0,14,7,0,3,38,15,0,0,0,219,63,42,60
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,0,0,0,9,6,6,3,9,2,0,0,0,34,5,15,25
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,2,0,0,22,16,0,3,33,21,0,1,0,161,35,25,58.3
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,1,0,0,14,3,0,2,11,11,0,0,0,86,29,28,50.9
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,0,0,0,1,1,0,2,3,1,0,0,0,14,3,2,60
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,0,0,0,10,18,2,10,6,5,0,1,0,42,8,11,42.1
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,0,0,0,11,8,0,21,6,6,0,0,0,21,5,5,50
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,1,0,0,6,7,0,0,16,2,0,0,0,24,14,1,93.3
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,2,0,0,13,7,0,2,52,12,0,0,0,168,60,37,61.9
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,0,0,0,4,10,0,0,4,2,0,0,0,25,5,10,33.3
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,2,1,0,6,7,1,3,15,13,0,1,0,86,34,15,69.4
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,2,0,0,37,21,2,19,27,27,0,0,0,134,18,37,32.7
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,1,0,0,4,6,0,13,33,11,0,0,0,104,12,10,54.5
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,4,0,0,21,3,2,2,44,18,0,0,0,235,39,29,57.4
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,4,0,0,19,20,2,40,54,42,1,0,1,269,34,34,50
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,2,1,0,20,14,4,4,37,23,0,1,0,231,83,44,65.4
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,0,0,0,1,7,0,1,0,0,0,0,0,7,0,7,0
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,5,0,0,19,13,2,1,40,18,0,1,0,253,92,43,68.1
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,4,0,0,40,14,1,7,34,8,0,0,0,185,36,25,59
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,2,0,0,23,23,26,22,11,11,2,0,0,114,40,70,36.4
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,5,1,1,30,20,2,80,34,22,0,0,1,265,40,42,48.8
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,0,0,0,10,22,4,13,8,11,0,0,0,93,6,22,21.4
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,3,0,0,20,13,2,63,43,19,0,1,0,243,36,30,54.5
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,1,0,0,3,2,1,0,4,3,0,0,0,17,7,3,70
Cucho,co COL,FWMF,Watford,22,1999,12.7,3,0,0,19,13,1,26,11,5,0,0,1,89,39,49,44.3
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,6,0,0,35,36,3,94,72,62,0,0,0,348,54,46,54
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,0,0,0,6,1,0,0,2,3,0,0,0,16,0,4,0
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,2,0,0,20,16,7,4,3,11,0,0,0,58,22,49,31
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,5,0,0,38,38,2,43,78,47,0,1,0,286,40,33,54.8
