"player","squad","season","goals","assists","gca","sca","passes_other_pen","passes_cross_other_pen","touches_other_pen","carries_other_pen","goals_norm","assists_norm","gca_norm","sca_norm","passes_other_pen_norm","passes_cross_other_pen_norm","touches_other_pen_norm","carries_other_pen_norm","goals_per90","assists_per90","gca_per90","sca_per90","passes_other_pen_per90","passes_cross_other_pen_per90","touches_other_pen_per90","carries_other_pen_per90"
"Aaron Wan-Bissaka","Manchester Utd",2021,0,0,1,31,12,7,26,4,0,0,0.04,0.20666666666666667,0.12631578947368421,0.2692307692307692,0.07807807807807808,0.045454545454545456,0,0,0.06542840019795561,2.028280406136624,0.7851408023754674,0.45799880138568927,1.7011384051468459,0.26171360079182243
"Alejandro Garnacho","Manchester Utd",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Telles","Manchester Utd",2021,0,4,5,45,17,6,23,2,0,0.3076923076923077,0.2,0.3,0.17894736842105263,0.23076923076923078,0.06906906906906907,0.022727272727272728,0,0.26171360079182243,0.327142000989778,2.9442780089080025,1.1122828033652454,0.3925704011877337,1.504853204552979,0.13085680039591122
"Anthony Elanga","Manchester Utd",2021,2,2,5,18,5,3,64,12,0.08695652173913043,0.15384615384615385,0.2,0.12,0.05263157894736842,0.11538461538461539,0.1921921921921922,0.13636363636363635,0.13085680039591122,0.13085680039591122,0.327142000989778,1.177711203563201,0.327142000989778,0.19628520059386684,4.187417612669159,0.7851408023754674
"Anthony Martial","Manchester Utd",2021,1,0,2,3,4,0,19,4,0.043478260869565216,0,0.08,0.02,0.042105263157894736,0,0.057057057057057055,0.045454545454545456,0.06542840019795561,0,0.13085680039591122,0.19628520059386684,0.26171360079182243,0,1.2431396037611566,0.26171360079182243
"Bruno Fernandes","Manchester Utd",2021,10,6,10,145,85,15,114,23,0.43478260869565216,0.46153846153846156,0.4,0.9666666666666667,0.8947368421052632,0.5769230769230769,0.34234234234234234,0.26136363636363635,0.654284001979556,0.3925704011877337,0.654284001979556,9.487118028703563,5.561414016826227,0.9814260029693341,7.458837622566939,1.504853204552979
"Cristiano Ronaldo","Manchester Utd",2021,18,3,9,76,16,0,182,35,0.782608695652174,0.23076923076923078,0.36,0.5066666666666667,0.16842105263157894,0,0.5465465465465466,0.3977272727272727,1.177711203563201,0.19628520059386684,0.5888556017816005,4.9725584150446265,1.0468544031672897,0,11.907968836027921,2.2899940069284463
"Daniel James","Manchester Utd",2021,0,0,0,3,0,0,9,1,0,0,0,0.02,0,0,0.02702702702702703,0.011363636363636364,0,0,0,0.19628520059386684,0,0,0.5888556017816005,0.06542840019795561
"David de Gea","Manchester Utd",2021,0,0,0,3,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.19628520059386684,0,0,0,0
"Diogo Dalot","Manchester Utd",2021,0,0,5,37,26,9,28,9,0,0,0.2,0.24666666666666667,0.2736842105263158,0.34615384615384615,0.08408408408408409,0.10227272727272728,0,0,0.327142000989778,2.4208508073243578,1.7011384051468459,0.5888556017816005,1.831995205542757,0.5888556017816005
"Donny van de Beek","Manchester Utd",2021,1,0,0,5,2,0,4,1,0.043478260869565216,0,0,0.03333333333333333,0.021052631578947368,0,0.012012012012012012,0.011363636363636364,0.06542840019795561,0,0,0.327142000989778,0.13085680039591122,0,0.26171360079182243,0.06542840019795561
