"player","squad","minutes","ptile","tackles_per100","pressures_per100","pass_per100","passes_under_pressure","passes_per100","passes_progressive","passes_under_pressure_norm","passes_progressive_norm","passes_under_pressure_per90","passes_progressive_per90"
"Albert Sambi Lokonga","Arsenal",1134,1,60,34.1,96.1,116,89.7,61,0.25,0.21942446043165467,7.589694422962851,3.991132412075292
"Thomas Partey","Arsenal",2028,2,43.9,35.4,95.4,154,85.9,116,0.33189655172413796,0.4172661870503597,10.075973630485164,7.589694422962851
"Jacob Ramsey","Aston Villa",2467,1,37.3,27.1,86.8,174,86.2,93,0.375,0.3345323741007194,11.384541634444275,6.0848412184098715
"Douglas Luiz","Aston Villa",2715,2,32.9,29.8,92.8,173,83.3,101,0.3728448275862069,0.36330935251798563,11.31911323424632,6.608268419993516
"Christian Nørgaard","Brentford",3054,2,51.4,31.5,90.2,280,79.8,163,0.603448275862069,0.5863309352517986,18.31995205542757,10.664829232266765
"Yves Bissouma","Brighton",2111,1,54.5,35.9,94.8,159,89.7,52,0.3426724137931034,0.18705035971223022,10.403115631474941,3.4022768102936918
"Adam Lallana","Brighton",1561,2,30.6,34.5,91.6,165,87.5,59,0.35560344827586204,0.21223021582733814,10.795686032662676,3.860275611679381
"Jack Cork","Burnley",1670,1,20.8,27.4,85.8,108,75.4,39,0.23275862068965517,0.14028776978417265,7.0662672213792055,2.5517076077202687
"Ashley Westwood","Burnley",2287,2,44.8,21.2,91.2,148,70.1,107,0.31896551724137934,0.38489208633093525,9.683403229297431,7.00083882118125
"N'Golo Kanté","Chelsea",1773,1,50,34.8,92.9,195,87.1,117,0.4202586206896552,0.420863309352518,12.758538038601344,7.655122823160807
"Jorginho","Chelsea",2273,2,30.3,35.9,96.3,324,89.7,140,0.6982758620689655,0.5035971223021583,21.19880166413762,9.159976027713785
"Cheikhou Kouyaté","Crystal Palace",1974,1,44.1,29.3,93.2,125,83.3,43,0.26939655172413796,0.15467625899280577,8.178550024744451,2.813421208512091
"James McArthur","Crystal Palace",1439,2,37.5,34.3,91.8,186,83.3,65,0.40086206896551724,0.23381294964028776,12.169682436819743,4.252846012867114
"Allan","Everton",2183,1,29.5,31.5,92.5,156,78.3,106,0.33620689655172414,0.381294964028777,10.206830430881075,6.9354104209832945
"Abdoulaye Doucouré","Everton",2537,2,37.1,27.3,85,248,80.1,91,0.5344827586206896,0.3273381294964029,16.22624324909299,5.9539844180139605
"Kalvin Phillips","Leeds United",1596,1,37.5,29.6,95.4,140,81.4,73,0.3017241379310345,0.26258992805755393,9.159976027713785,4.776273214450759
"Adam Forshaw","Leeds United",1530,2,43.8,30.4,87.7,123,83.7,61,0.2650862068965517,0.21942446043165467,8.04769322434854,3.991132412075292
"Boubakary Soumaré","Leicester City",1102,1,33.3,24.8,89.1,129,81.5,39,0.27801724137931033,0.14028776978417265,8.440263625536273,2.5517076077202687
"Kiernan Dewsbury-Hall","Leicester City",2105,2,37.1,24.1,87.8,251,77.1,98,0.540948275862069,0.35251798561151076,16.422528449686858,6.41198321939965
"Fabinho","Liverpool",2314,1,30.6,31.7,96.2,230,88.1,107,0.4956896551724138,0.38489208633093525,15.04853204552979,7.00083882118125
"Naby Keïta","Liverpool",1173,1,51.4,33.3,88.3,117,85.8,78,0.2521551724137931,0.2805755395683453,7.655122823160807,5.1034152154405374
"Thiago Alcántara","Liverpool",1534,2,30,36.7,96,215,89.6,175,0.46336206896551724,0.6294964028776978,14.067106042560455,11.449970034642233
"Rodri","Manchester City",2884,1,47.5,35.6,96.9,464,92.5,179,1,0.6438848920863309,30.358777691851405,11.711683635434055
"İlkay Gündoğan","Manchester City",1857,2,36,28.6,89.4,147,87.6,85,0.3168103448275862,0.3057553956834532,9.617974829099476,5.561414016826227
