"player","squad","minutes","def_action","def_action_per90","crosses","crosses_per90","ptile"
"Kieran Tierney","Arsenal",1915,78,5.1034152154405374,72,4.710844814252804,6
"Cédric Soares","Arsenal",1486,64,4.187417612669159,62,4.056560812273248,5
"Nuno Tavares","Arsenal",1176,57,3.7294188112834696,32,2.0937088063345795,4
"Matty Cash","Aston Villa",3377,225,14.721390044540012,94,6.150269618607827,5
"Lucas Digne","Aston Villa",1269,71,4.645416414054848,62,4.056560812273248,4
"Sergi Canós","Brentford",2083,95,6.215698018805783,52,3.4022768102936918,6
"Rico Henry","Brentford",2776,160,10.468544031672897,50,3.2714200098977804,5
"Ethan Pinnock","Brentford",2694,143,9.356261228307652,28,1.831995205542757,4
"Marc Cucurella","Brighton",3089,206,13.478250440778856,94,6.150269618607827,5
"Joël Veltman","Brighton",2874,172,11.253684834048364,30,1.9628520059386683,4
"Charlie Taylor","Burnley",2731,191,12.496824437809522,67,4.383702813263026,6
"Matthew Lowton","Burnley",1772,105,6.869982020785339,39,2.5517076077202687,5
"Connor Roberts","Burnley",1692,104,6.8045536205873836,28,1.831995205542757,4
"Reece James","Chelsea",1864,73,4.776273214450759,82,5.36512881623236,7
"Marcos Alonso","Chelsea",2167,133,8.701977226328097,64,4.187417612669159,6
"César Azpilicueta","Chelsea",2070,130,8.505692025734229,37,2.4208508073243578,5
"Antonio Rüdiger","Chelsea",3035,112,7.327980822171028,14,0.9159976027713785,4
"Tyrick Mitchell","Crystal Palace",3101,211,13.805392441768634,56,3.663990411085514,5
"Joel Ward","Crystal Palace",2487,135,8.832834026724008,30,1.9628520059386683,4
"Séamus Coleman","Everton",2656,155,10.14140203068312,40,2.617136007918224,5
"Lucas Digne","Everton",1170,76,4.9725584150446265,34,2.224565606730491,4
"Junior Firpo","Leeds United",1711,108,7.0662672213792055,27,1.7665668053448014,5
"Luke Ayling","Leeds United",2272,148,9.683403229297431,25,1.6357100049488902,4
"Timothy Castagne","Leicester City",2127,120,7.851408023754673,27,1.7665668053448014,5
"Luke Thomas","Leicester City",1912,126,8.243978424942407,23,1.504853204552979,4
"Trent Alexander-Arnold","Liverpool",2853,139,9.09454762751583,127,8.309406825140362,4
"João Cancelo","Manchester City",3227,174,11.384541634444275,103,6.739125220389428,5
"Kyle Walker","Manchester City",1755,61,3.991132412075292,28,1.831995205542757,4
"Alex Telles","Manchester Utd",1660,92,6.019412818211916,63,4.121989212471203,7
"Diogo Dalot","Manchester Utd",1801,114,7.458837622566939,46,3.009706409105958,6
"Luke Shaw","Manchester Utd",1601,68,4.449131213460982,44,2.878849608710047,5
"Aaron Wan-Bissaka","Manchester Utd",1793,132,8.63654882613014,22,1.4394248043550235,4
"Matt Ritchie","Newcastle Utd",1337,65,4.252846012867114,45,2.9442780089080025,7
"Matt Targett","Newcastle Utd",1440,76,4.9725584150446265,30,1.9628520059386683,6
"Emil Krafth","Newcastle Utd",1634,106,6.9354104209832945,18,1.177711203563201,5
"Javier Manquillo","Newcastle Utd",1257,75,4.907130014846671,10,0.654284001979556,4
"Max Aarons","Norwich City",2881,179,11.711683635434055,45,2.9442780089080025,5
"Dimitris Giannoulis","Norwich City",1169,97,6.346554819201694,30,1.9628520059386683,4
"Valentino Livramento","Southampton",2202,148,9.683403229297431,55,3.5985620108875587,5
"Romain Perraud","Southampton",1623,74,4.8417016146487155,49,3.205991609699825,4
"Emerson","Tottenham",2286,130,8.505692025734229,60,3.9257040118773365,6
"Sergio Reguilón","Tottenham",1916,102,6.673696820191473,59,3.860275611679381,5
"Ben Davies","Tottenham",2538,102,6.673696820191473,9,0.5888556017816005,4
"Kiko Femenía","Watford",2142,128,8.374835225338318,55,3.5985620108875587,6
"Hassane Kamara","Watford",1623,156,10.206830430881075,19,1.2431396037611566,5
"Craig Cathcart","Watford",2396,108,7.0662672213792055,3,0.19628520059386684,4
"Vladimír Coufal","West Ham",2209,106,6.9354104209832945,80,5.234272015836448,5
"Aaron Cresswell","West Ham",2726,110,7.197124021775117,63,4.121989212471203,4
"Rayan Aït Nouri","Wolves",1828,115,7.524266022764895,56,3.663990411085514,6
"Fernando Marçal","Wolves",1449,99,6.477411619597605,55,3.5985620108875587,5
"Nélson Semedo","Wolves",2131,126,8.243978424942407,26,1.7011384051468459,4
