player,goals,assists,gca,sca,passes to box,crosses to box,touches on box,carries to box
max,1,1,1,1,1,1,1,1
min,0,0,0,0,0,0,0,0
maxstats,0.782608696,0.692307692,0.44,0.966666667,0.894736842,0.576923077,0.546546547,0.590909091
Cristiano Ronaldo,0.782608696,0.230769231,0.36,0.506666667,0.168421053,0,0.546546547,0.397727273
Bruno Fernandes,0.434782609,0.461538462,0.4,0.966666667,0.894736842,0.576923077,0.342342342,0.261363636
Mason Greenwood,0.217391304,0.076923077,0.28,0.293333333,0.136842105,0.115384615,0.18018018,0.306818182
Marcus Rashford,0.173913043,0.153846154,0.12,0.193333333,0.115789474,0.115384615,0.231231231,0.159090909
Jadon Sancho,0.130434783,0.230769231,0.32,0.546666667,0.378947368,0.230769231,0.348348348,0.590909091
Anthony Elanga,0.086956522,0.153846154,0.2,0.12,0.052631579,0.115384615,0.192192192,0.136363636
Edinson Cavani,0.086956522,0.076923077,0.08,0.073333333,0.010526316,0,0.096096096,0.022727273
Jesse Lingard,0.086956522,0,0.04,0.1,0.031578947,0,0.036036036,0.011363636
Anthony Martial,0.043478261,0,0.08,0.02,0.042105263,0,0.057057057,0.045454545
